season,week,team,implied_team_total
2022,18,MIA,17.0
2022,18,NO,19.0
2022,18,PIT,18.75
2022,18,DEN,16.25
2022,18,PHI,13.0
2022,18,SEA,18.0
2022,18,SF,13.0
2022,18,WAS,24.0
2022,18,GB,21.75
2022,19,SF,16.0
2022,19,JAX,24.25
2022,19,BUF,15.0
2022,19,MIN,22.75
2022,19,CIN,16.25
2022,19,TB,24.0
2022,20,KC,21.25
2022,20,PHI,20.0
2022,20,BUF,21.25
2022,20,SF,21.5
2022,21,PHI,21.25
2022,21,KC,23.25
2022,22,PHI,25.0
2023,1,KC,24.5
2023,1,ATL,18.5
2023,1,BAL,17.0
2023,1,CLE,23.75
2023,1,IND,24.75
2023,1,MIN,20.5
2023,1,NO,19.0
2023,1,PIT,21.5
2023,1,WAS,15.5
2023,1,CHI,20.0
2023,1,DEN,20.0
2023,1,LAC,23.75
2023,1,NE,24.0
2023,1,SEA,20.25
2023,1,NYG,24.0
2023,1,NYJ,23.5
2023,2,PHI,21.5
2023,2,ATL,18.75
2023,2,BUF,19.75
2023,2,CIN,21.0
2023,2,DET,21.5
2023,2,HOU,20.5
2023,2,JAX,27.0
2023,2,TB,19.25
2023,2,TEN,24.0
2023,2,ARI,22.5
2023,2,LA,26.25
2023,2,DAL,15.0
2023,2,DEN,17.25
2023,2,NE,24.25
2023,2,CAR,21.25
2023,2,PIT,20.75
2023,3,SF,16.5
2023,3,BAL,18.0
2023,3,CLE,17.25
2023,3,DET,22.25
2023,3,GB,21.5
2023,3,JAX,18.0
2023,3,MIA,20.75
2023,3,MIN,26.5
2023,3,NYJ,19.0
2023,3,WAS,24.75
2023,3,SEA,18.75
2023,3,ARI,27.5
2023,3,KC,17.5
2023,3,LV,20.25
2023,3,TB,25.0
2023,3,CIN,21.25
2023,4,GB,23.75
2023,4,JAX,19.5
2023,4,BUF,25.25
2023,4,CAR,25.5
2023,4,CHI,25.0
2023,4,CLE,20.25
2023,4,HOU,22.25
2023,4,IND,22.75
2023,4,NO,18.5
2023,4,PHI,16.75
2023,4,TEN,22.0
2023,4,LAC,21.0
2023,4,DAL,18.25
2023,4,SF,14.5
2023,4,NYJ,25.5
2023,4,NYG,24.5
2023,5,WAS,19.75
2023,5,BUF,21.5
2023,5,ATL,19.75
2023,5,DET,17.0
2023,5,IND,23.0
2023,5,MIA,17.5
2023,5,NE,18.0
2023,5,PIT,21.5
2023,5,ARI,24.25
2023,5,LA,27.0
2023,5,DEN,20.0
2023,5,MIN,28.0
2023,5,SF,20.75
2023,5,LV,22.0
2023,6,KC,18.5
2023,6,TEN,24.0
2023,6,ATL,20.25
2023,6,CHI,23.75
2023,6,CIN,21.25
2023,6,CLE,22.75
2023,6,HOU,22.25
2023,6,JAX,20.0
2023,6,MIA,16.75
2023,6,LV,19.25
2023,6,LA,20.5
2023,6,NYJ,24.75
2023,6,TB,23.25
2023,6,BUF,14.0
2023,6,LAC,25.5
2023,7,NO,19.25
2023,7,BAL,20.25
2023,7,CHI,20.5
2023,7,IND,21.75
2023,7,NE,24.25
2023,7,NYG,20.0
2023,7,TB,17.25
2023,7,LA,20.25
2023,7,SEA,17.0
2023,7,DEN,21.25
2023,7,KC,21.5
2023,7,PHI,24.5
2023,7,MIN,25.75
2023,8,BUF,16.5
2023,8,CAR,23.0
2023,8,DAL,19.0
2023,8,GB,21.25
2023,8,IND,22.75
2023,8,MIA,19.5
2023,8,NYG,19.0
2023,8,PIT,21.75
2023,8,TEN,18.75
2023,8,WAS,24.75
2023,8,SEA,17.75
2023,8,ARI,27.0
2023,8,DEN,26.25
2023,8,SF,20.0
2023,8,LAC,18.25
2023,8,DET,19.5
2023,9,PIT,16.75
2023,9,KC,25.0
2023,9,ATL,17.5
2023,9,BAL,19.25
2023,9,CLE,12.5
2023,9,GB,17.25
2023,9,HOU,18.5
2023,9,NE,19.0
2023,9,NO,16.5
2023,9,CAR,23.25
2023,9,LV,18.75
2023,9,PHI,21.5
2023,9,CIN,24.75
2023,9,NYJ,22.0
2023,10,CHI,17.5
2023,10,NE,21.5
2023,10,BAL,16.25
2023,10,CIN,20.25
2023,10,JAX,23.75
2023,10,MIN,22.0
